,C,Um,Ur,Ud,C_target
0,84.065575,0.70109,0.70087,0.77666,0.0
1,-202.939117,0.70105,0.70094,0.77664,0.0
2,-208.76915,0.70101,0.70099,0.77669,0.0
3,-284.524109,0.70081,0.7008,0.77653,0.0
4,45.755302,0.7009,0.70072,0.77648,0.0
5,182.300034,0.70068,0.70018,0.77634,0.0
6,291.903137,0.70068,0.70033,0.77641,0.0
7,-252.332489,0.7005,0.70028,0.77639,0.0
8,184.478409,0.70039,0.70027,0.77634,0.0
9,-281.866241,0.70037,0.70034,0.77631,0.0
10,-322.513336,0.70071,0.70057,0.77653,0.0
11,-261.092926,0.70081,0.70043,0.7765,0.0
12,88.221016,0.70068,0.7002,0.77651,0.0
13,239.694809,0.70082,0.7005,0.77656,0.0
14,-263.751404,0.70068,0.70033,0.77655,0.0
15,299.364014,0.70047,0.70039,0.77649,0.0
16,-77.115929,0.70026,0.70046,0.77656,0.0
17,-160.407181,0.70031,0.70031,0.77653,0.0
18,52.015339,0.70037,0.70017,0.77649,0.0
19,-197.537292,0.7003,0.70015,0.77651,0.0
20,169.664581,0.70028,0.69992,0.77647,0.0
21,268.95636,0.70032,0.70007,0.77642,0.0
22,-263.754395,0.70051,0.69978,0.77641,0.0
23,236.083023,0.70031,0.69991,0.77648,0.0
24,-321.263641,0.7004,0.69983,0.77647,0.0
25,411.045471,0.70029,0.6999,0.77649,0.0
26,128.058899,0.7,0.69986,0.77637,0.0
27,-266.220428,0.70011,0.69969,0.77645,0.0
28,282.954193,0.69998,0.69973,0.77642,0.0
29,174.222168,0.70003,0.69978,0.77644,0.0
30,-186.965759,0.70037,0.69951,0.7763,0.0
31,127.276115,0.69999,0.69954,0.77635,0.0
32,153.458786,0.70019,0.69966,0.77638,0.0
33,-405.981354,0.70019,0.69938,0.77636,0.0
34,374.869965,0.70013,0.69955,0.77636,0.0
35,-173.679306,0.70009,0.69962,0.77637,0.0
36,-228.899033,0.69977,0.69934,0.77626,0.0
37,344.724182,0.6996,0.69923,0.77627,0.0
38,-354.359161,0.69963,0.69919,0.77627,0.0
39,215.732117,0.69972,0.69936,0.77631,0.0
40,-289.734283,0.69974,0.6993,0.77628,0.0
41,302.996429,0.6998,0.69929,0.77637,0.0
42,-285.9198,0.69971,0.69901,0.77639,0.0
43,99.816101,0.6996,0.69911,0.77637,0.0
44,325.033051,0.69957,0.69907,0.7763,0.0
45,-209.802551,0.69953,0.699,0.77634,0.0
46,311.423676,0.69975,0.69926,0.77623,0.0
47,-352.36731,0.69951,0.69905,0.77628,0.0
48,185.682175,0.69977,0.69898,0.77634,0.0
49,219.138596,0.69943,0.69897,0.77622,0.0
50,-32.80286,0.69962,0.69895,0.77631,0.0
51,-316.953278,0.69964,0.69883,0.77637,0.0
52,91.850525,0.69943,0.69888,0.77625,0.0
53,177.194885,0.6994,0.69876,0.7763,0.0
54,-119.724815,0.69946,0.69871,0.7762,0.0
55,177.769806,0.6992,0.69863,0.7763,0.0
56,-281.118011,0.69951,0.69871,0.77624,0.0
57,-263.895355,0.69935,0.69848,0.77632,0.0
58,128.66394,0.69934,0.69835,0.77632,0.0
59,347.170929,0.69948,0.69855,0.77628,0.0
60,-331.793976,0.69933,0.69862,0.77628,0.0
61,-256.393555,0.69909,0.69861,0.77633,0.0
62,253.038635,0.69901,0.69843,0.77627,0.0
63,-353.279083,0.69927,0.69834,0.77616,0.0
64,96.509399,0.69914,0.69847,0.77626,0.0
65,376.533356,0.69888,0.69843,0.77624,0.0
66,-228.944611,0.69908,0.6985,0.77626,0.0
67,-240.19014,0.69897,0.69826,0.77613,0.0
68,326.470306,0.69915,0.69837,0.7762,0.0
69,-234.258804,0.69917,0.69838,0.77628,0.0
70,-345.467102,0.69924,0.69822,0.77623,0.0
71,203.959045,0.69893,0.69818,0.77619,0.0
72,-219.680237,0.69883,0.69814,0.77606,0.0
73,-177.095535,0.699,0.69812,0.77611,0.0
74,-250.894974,0.69888,0.69824,0.77615,0.0
75,-212.583008,0.69881,0.69826,0.77618,0.0
76,60.476082,0.69896,0.69823,0.77613,0.0
77,165.885696,0.69902,0.69827,0.77626,0.0
78,-226.038406,0.69894,0.69812,0.77624,0.0
79,146.160751,0.69902,0.69808,0.77612,0.0
80,280.041931,0.69908,0.69794,0.77628,0.0
81,280.989899,0.6988,0.6981,0.77613,0.0
82,76.068413,0.69884,0.69795,0.77621,0.0
83,411.761414,0.69902,0.69799,0.77618,0.0
84,-185.278015,0.6988,0.69801,0.77612,0.0
85,-49.638893,0.69894,0.69787,0.77613,0.0
